group_name,group_urlname,lat,link,local_date,local_time,lon,name,visibility,waitlist_count,yes_rsvp_count
Data Viz Jam Sessions,Data-Viz-Jam-Sessions,47.61392593383789,https://www.meetup.com/Data-Viz-Jam-Sessions/events/rsdpsqyzjblb/,2019-06-08,12:00,-122.31755065917969,🍰📊Data Viz and Snacks📈🍩,public,0,20
Data Viz Jam Sessions,Data-Viz-Jam-Sessions,47.61392593383789,https://www.meetup.com/Data-Viz-Jam-Sessions/events/rsdpsqyzkbrb/,2019-06-29,12:00,-122.31755065917969,🍰📊Data Viz and Snacks📈🍩,public,0,5
Puget Sound Programming Python (PuPPy),PSPPython,47.609275817871094,https://www.meetup.com/PSPPython/events/261692547/,2019-06-03,18:15,-122.33636474609375,Interview Practice Night,public,4,30
Puget Sound Programming Python (PuPPy),PSPPython,47.59901428222656,https://www.meetup.com/PSPPython/events/261692561/,2019-06-10,18:15,-122.3338394165039,Interview Practice Night,public,0,15
Puget Sound Programming Python (PuPPy),PSPPython,47.60718536376953,https://www.meetup.com/PSPPython/events/cqltdpyzjbqb/,2019-06-12,18:00,-122.33611297607422,2nd Wednesday of the Month Talk Format Meeting,public,0,110
Metis: Seattle Data Science,Metis-Seattle-Data-Science,47.60620880126953,https://www.meetup.com/Metis-Seattle-Data-Science/events/261492602/,2019-06-04,17:00,-122.33206939697266,AMA Ask Me Anything About Transitioning to Data Science from Academia,public,0,9
Metis: Seattle Data Science,Metis-Seattle-Data-Science,47.60596466064453,https://www.meetup.com/Metis-Seattle-Data-Science/events/261625830/,2019-06-12,18:00,-122.33948516845703,The Power of Workflows: A Problem Well-Stated is a Problem Half-Solved,public,0,10
Metis: Seattle Data Science,Metis-Seattle-Data-Science,47.60601043701172,https://www.meetup.com/Metis-Seattle-Data-Science/events/261546263/,2019-06-13,18:00,-122.33948516845703,Seattle Women in Data Science - Data Science Interview Practice Group,public,0,6
Seattle Data Science,Seattle-Data-Science,47.59917449951172,https://www.meetup.com/Seattle-Data-Science/events/261268520/,2019-06-04,18:30,-122.33366394042969,Data Science Fundamentals: Intro to Python (6.4 - 7.11 Class),public,0,8
Seattle Data Science,Seattle-Data-Science,47.59917449951172,https://www.meetup.com/Seattle-Data-Science/events/261677448/,2019-06-10,18:30,-122.33366394042969,Break into Data Science! Panel Discussion,public,0,11
Seattle Data/Analytics/Machine Learning,Seattle-DAML,47.630001068115234,https://www.meetup.com/Seattle-DAML/events/261915944/,2019-06-12,18:00,-122.31999969482422,Panel - Ramping up for Data Engineering,public,0,2
Smart Mobility Seattle,Smart-Mobility-Seattle,47.63437271118164,https://www.meetup.com/Smart-Mobility-Seattle/events/260887695/,2019-06-06,18:00,-122.33966064453125,Automotive Cloud and the Future of Mobility,public,0,10
DAMA Puget Sound,DAMAPugetSound,47.61163330078125,https://www.meetup.com/DAMAPugetSound/events/261887521/,2019-06-11,18:00,-122.32026672363281,DAMA Puget Sound Chapter Meeting - Data Management and Machine Learning,public,0,3
Seattle AI Tech Talks Group,aittg-seattle,47.60048294067383,https://www.meetup.com/aittg-seattle/events/261608351/,2019-06-15,09:00,-122.33123779296875,[PAID Training]  End to End Deep Learning for Computer Vision,public,0,7
Seattle CoffeeOps (Dev💙Ops),Seattle-CoffeeOps,47.6021842956543,https://www.meetup.com/Seattle-CoffeeOps/events/kgmkbqyzhbpc/,2019-05-31,08:00,-122.33595275878906,Seattle CoffeeOps (Dev 💙Ops) Community,public,0,36
Seattle CoffeeOps (Dev💙Ops),Seattle-CoffeeOps,47.6021842956543,https://www.meetup.com/Seattle-CoffeeOps/events/kgmkbqyzjbsb/,2019-06-14,08:00,-122.33595275878906,Seattle CoffeeOps (Dev 💙Ops) Community,public,0,14
Seattle CoffeeOps (Dev💙Ops),Seattle-CoffeeOps,47.6021842956543,https://www.meetup.com/Seattle-CoffeeOps/events/kgmkbqyzjblc/,2019-06-28,08:00,-122.33595275878906,Seattle CoffeeOps (Dev 💙Ops) Community,public,0,14
Seattle Intro to Programming Meetup,Seattle-Intro-to-Programming-Meetup,47.60922622680664,https://www.meetup.com/Seattle-Intro-to-Programming-Meetup/events/261438297/,2019-06-15,11:00,-122.33667755126953,Free Intro to Programming 4-hr Workshop - Seattle,public,0,7
General Assembly Seattle,General-Assembly-Seattle,47.60773849487305,https://www.meetup.com/General-Assembly-Seattle/events/261623716/,2019-06-08,10:00,-122.3354721069336,UX for Mobile Design,public,0,4
Solaris Club,Solaris-Club,47.61000061035156,https://www.meetup.com/Solaris-Club/events/261567083/,2019-06-01,15:00,-122.33000183105469,"BULLSHIT: THE GOOD, THE BAD AND THE UGLY",public_limited,0,12
